Colname,Conformity,Continent,Label
"2,4-DB|soil|agricultural",Nonconformity,Africa,1
Acrinathrin|soil|agricultural,Nonconformity,Africa,2
Aluminium III|soil|industrial,Nonconformity,Africa,3
Antimony ion|soil|agricultural,Nonconformity,Africa,4
Asulam|soil|agricultural,Nonconformity,Africa,5
Atrazine|soil|agricultural,Nonconformity,Africa,6
Barium II|soil|agricultural,Marginally acceptable conformity,Africa,7
Benomyl|soil|agricultural,Marginally acceptable conformity,Africa,8
Beryllium II|soil|industrial,Nonconformity,Africa,9
Beryllium II|soil|unspecified,Nonconformity,Africa,10
Beta-cyfluthrin|soil|agricultural,Nonconformity,Africa,11
Boron|soil|agricultural,Nonconformity,Africa,12
Boron|soil|industrial,Nonconformity,Africa,13
Bromine|soil|industrial,Nonconformity,Africa,14
Calcium II|soil|unspecified,Nonconformity,Africa,15
Carbon|soil|industrial,Marginally acceptable conformity,Africa,16
Carbon|soil|unspecified,Nonconformity,Africa,17
Chlormequat|soil|agricultural,Nonconformity,Africa,18
Chlorothalonil|soil|agricultural,Nonconformity,Africa,19
Chlorotoluron|soil|agricultural,Nonconformity,Africa,20
Clothianidin|soil|agricultural,Nonconformity,Africa,21
Deltamethrin|soil|agricultural,Nonconformity,Africa,22
Diafenthiuron|soil|agricultural,Nonconformity,Africa,23
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin|soil|unspecified",Nonconformity,Africa,24
Ethephon|soil|agricultural,Nonconformity,Africa,25
Fenoxaprop ethyl ester|soil|agricultural,Nonconformity,Africa,26
Flonicamid|soil|agricultural,Nonconformity,Africa,27
Fluazifop-P-butyl|soil|agricultural,Nonconformity,Africa,28
Fludioxonil|soil|forestry,Nonconformity,Africa,29
Flumioxazin|soil|forestry,Nonconformity,Africa,30
Fluquinconazole|soil|agricultural,Nonconformity,Africa,31
Glufosinate|soil|agricultural,Nonconformity,Africa,33
Glufosinate ammonium|soil|agricultural,Nonconformity,Africa,32
Glyphosate|soil|forestry,Nonconformity,Africa,34
"Heat, waste|soil|agricultural",Nonconformity,Africa,35
"Hydrocarbons, unspecified|soil|unspecified",Nonconformity,Africa,36
Imazethapyr|soil|agricultural,Nonconformity,Africa,37
Iodosulfuron|soil|agricultural,Nonconformity,Africa,38
Iron ion|soil|industrial,Nonconformity,Africa,39
Lenacil|soil|agricultural,Nonconformity,Africa,40
Linuron|soil|agricultural,Nonconformity,Africa,41
MCPB|soil|agricultural,Marginally acceptable conformity,Africa,43
Magnesium|soil|industrial,Nonconformity,Africa,42
Mecoprop-P|soil|agricultural,Nonconformity,Africa,44
Mefenpyr-diethyl|soil|agricultural,Nonconformity,Africa,45
Mercury II|soil|unspecified,Nonconformity,Africa,46
Metalaxil|soil|agricultural,Nonconformity,Africa,47
Metamitron|soil|agricultural,Nonconformity,Africa,48
Nitrogen|soil|industrial,Nonconformity,Africa,49
Oxyfluorfen|soil|agricultural,Nonconformity,Africa,50
Paraquat|soil|agricultural,Nonconformity,Africa,51
Parathion|soil|agricultural,Nonconformity,Africa,52
Pendimethalin|soil|agricultural,Nonconformity,Africa,53
Phosphorus|soil|unspecified,Nonconformity,Africa,54
Picoxystrobin|soil|agricultural,Marginally acceptable conformity,Africa,55
Piperonyl butoxide|soil|agricultural,Nonconformity,Africa,56
Potassium I|soil|unspecified,Nonconformity,Africa,57
Prochloraz|soil|agricultural,Nonconformity,Africa,58
Propargite|soil|agricultural,Nonconformity,Africa,59
Propiconazole|soil|agricultural,Nonconformity,Africa,60
Pyrethrum|soil|agricultural,Nonconformity,Africa,61
Quinmerac|soil|agricultural,Nonconformity,Africa,62
Quizalofop-p-ethyl|soil|agricultural,Nonconformity,Africa,63
Scandium|soil|unspecified,Nonconformity,Africa,64
Silicon|soil|unspecified,Nonconformity,Africa,65
Silver I|soil|unspecified,Nonconformity,Africa,66
Strontium II|soil|industrial,Nonconformity,Africa,67
Sulfentrazone|soil|agricultural,Nonconformity,Africa,68
Sulfur|soil|industrial,Nonconformity,Africa,69
Sulfur|soil|unspecified,Nonconformity,Africa,70
Thallium I|soil|industrial,Nonconformity,Africa,71
Thallium I|soil|unspecified,Nonconformity,Africa,72
Thifensulfuron-methyl|soil|agricultural,Nonconformity,Africa,73
Thiram|soil|agricultural,Nonconformity,Africa,74
Tin ion|soil|unspecified,Nonconformity,Africa,75
Titanium ion|soil|agricultural,Nonconformity,Africa,76
Titanium ion|soil|industrial,Nonconformity,Africa,77
Titanium ion|soil|unspecified,Nonconformity,Africa,78
Trichlorfon|soil|agricultural,Nonconformity,Africa,79
Trifloxystrobin|soil|agricultural,Nonconformity,Africa,80
Trifloxystrobin|soil|forestry,Nonconformity,Africa,81
Trinexapac-ethyl|soil|agricultural,Nonconformity,Africa,82
Vanadium V|soil|industrial,Nonconformity,Africa,83
Vanadium V|soil|unspecified,Nonconformity,Africa,84
Zeta-cypermethrin|soil|agricultural,Nonconformity,Africa,85
Zinc II|soil|industrial,Nonconformity,Africa,86
